SEQ,LINK_NO,CASE_REF,CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_PAN,WEEK_START,AGGREGATE_CASH,P_SUSPICIOUS,RULE_THEN,THRESHOLD_THEN,RULE_NOW,THRESHOLD_NOW,CITATION,WHY_NO_ALERT,AGGRAVATING,MITIGATING,EVIDENCE,CONTENT_HASH,CHAIN_HASH
1,1,CU-100120|2026-01-19,CU-100120,Customer 100120,RSGNG1775I,2026-01-19,941870.56,0.78,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      941,871 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 20.89 times declared monthly income for a Government Employee—an occupation with fixed, traceable salary payments that generate zero legitimate cash receipts—yet INR 941,871 in cash appeared across 7 deposits in a single week after 26 consecutive weeks of zero cash activity, with 85.7% of deposits sitting just below round numbers, creating a textbook burst pattern inconsistent with any plausible government employment scenario.","The customer carries a LOW internal risk rating and has maintained the account long enough to accumulate 740 days since KYC refresh, suggesting an established relationship; it is possible they operate an undeclared side business (retail trade, small-scale vending, or family agricultural sales) that genuinely generated a seasonal or one-time cash windfall, and the round-number clustering may reflect customer preference for even amounts rather than deliberate structuring, though this would require the business to be entirely unregistered and the income grossly under-declared.","{
  ""avg_deposit"": 134553,
  ""cash_vs_monthly_income"": 20.89,
  ""days_since_kyc"": 740,
  ""declared_annual_income"": 541000,
  ""deposits_just_under_round_pct"": 85.7,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Government Employee"",
  ""occupation_is_cash_trade"": false,
  ""prior_alert_count"": 2,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 1.500000000000000e+00,
  ""weeks_since_cash_began"": 0,
  ""weeks_with_cash_activity_pct"": 0
}",19408a0a916bcc3380c207ffd1d69473fba103f4f423a6fa29c9fe31f2008da5,6e5f2d04e151bfb73b582f2fc47b167f46412321a099320a0711095af25e3349
2,2,CU-100150|2026-04-13,CU-100150,Customer 100150,PLPFP9643A,2026-04-13,935379.93,0.78,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      935,380 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","Government Employee occupation receiving cash equal to 50% of declared monthly income every week. This profile is fundamentally incompatible with legitimate activity—government salaries are paid electronically, and civil servants have no plausible source for INR 935k in weekly cash that would represent INR 3.7M+ monthly (double their declared annual income of INR 22.3M). The occupation-income mismatch is the clearest structuring red flag.","Perfect consistency over 26 weeks (100% activity, low 0.18 volatility) with funds largely retained in account (only 32% transferred out). This is the signature of genuine business operations—steady weekly rhythm, natural variation, working capital retained for expenses. Structuring typically shows burst patterns and rapid exit of funds. The 19 prior alerts suggest this is a known, monitored pattern rather than newly suspicious behavior, and only 9.1% of deposits sit below round thresholds (structurers typically show 70%+).","{
  ""avg_deposit"": 85035,
  ""cash_vs_monthly_income"": 0.5,
  ""days_since_kyc"": 766,
  ""declared_annual_income"": 22291000,
  ""deposits_just_under_round_pct"": 9.1,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Government Employee"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.32,
  ""prior_alert_count"": 19,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 1.800000000000000e-01,
  ""weeks_since_cash_began"": 26,
  ""weeks_with_cash_activity_pct"": 100
}",4cb6af2ed3504f43a3f0e80f8d55da25ddada94277d1bd9bd428cba2a40079d6,69cf268ac4841047c6e34ba363db180afac8b925c7a71b9d779248e22050665d
3,3,CU-100484|2025-08-25,CU-100484,Customer 100484,NHVVK5676J,2025-08-25,955515.11,0.78,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      955,515 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 20× monthly declared income for a Government Employee (not a cash business), yet 100% is immediately transferred out electronically, the activity appeared suddenly just 1 week ago with no prior cash history (active only 3.8% of preceding weeks), and 85.7% of deposits sit just below round-number thresholds—a textbook structuring signature with no business retention pattern.","The customer has a LOW internal risk rating, no prior alerts, is not politically exposed, and the 3-in-10 base rate reminds us that most large cash alerts at this bank are ultimately legitimate business—this could be a government employee helping family members with a new cash business venture or acting as an informal intermediary for a community savings group, with the sudden appearance reflecting a recent life change rather than layering.","{
  ""avg_deposit"": 136502,
  ""cash_vs_monthly_income"": 20.15,
  ""days_since_kyc"": 426,
  ""declared_annual_income"": 569000,
  ""deposits_just_under_round_pct"": 85.7,
  ""distinct_branches_used"": 2,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Government Employee"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 1,
  ""prior_alert_count"": 0,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 1.500000000000000e+00,
  ""weeks_since_cash_began"": 1,
  ""weeks_with_cash_activity_pct"": 3.8
}",26ceaa94537221864249b2d8f1978c99fecffa15ac01e7cd4f35fbc2d1da8274,a4b50b5227080eb8d8f3c4fb539bf368cc730ad61a39610210a8459993b8f132
4,4,CU-100793|2026-03-30,CU-100793,Customer 100793,UNRRN5696F,2026-03-30,819011.66,0.78,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      819,012 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash activity is 12.83 times the declared monthly income for a Government Employee—an occupation with fixed, traceable salary payments that generate virtually no legitimate cash. The activity appeared suddenly (only 1 week ago), occurs in isolated bursts (active only 3.8% of weeks), and shows classic threshold management with 75% of deposits sitting just below round numbers. This is textbook structuring by someone whose declared profile cannot explain the cash.","The customer retains 71% of the deposited cash in the account rather than immediately transferring it out, which is inconsistent with typical layering behavior where launderers quickly move funds to obscure the trail. Legitimate businesses—even those operated by salaried individuals as side ventures—often keep funds in place to manage working capital and supplier payments.","{
  ""avg_deposit"": 204753,
  ""cash_vs_monthly_income"": 12.83,
  ""days_since_kyc"": 569,
  ""declared_annual_income"": 766000,
  ""deposits_just_under_round_pct"": 75,
  ""distinct_branches_used"": 3,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Government Employee"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.29,
  ""prior_alert_count"": 4,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 1.500000000000000e+00,
  ""weeks_since_cash_began"": 1,
  ""weeks_with_cash_activity_pct"": 3.8
}",f8366ebf5b8a7105be5aff8938f5639eafb5949a91086f2bffc2a3789064aec4,9330a578638b6150500f551c8d970dccbf572d28cbedd5d8a94c677b9ee43757
5,5,CU-101011|2025-08-18,CU-101011,Customer 101011,AATXP9751J,2025-08-18,956977.64,0.78,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      956,978 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 83 times declared monthly income for a Government Employee—an occupation with fixed, traceable salary payments that generate zero legitimate cash receipts. The sudden burst of INR 956,978 in cash after 26 weeks of complete dormancy, with 75% of deposits sitting just below round numbers, is the textbook signature of structuring: someone is using this salaried account as a conduit because it looks low-risk on paper.","The customer has a LOW internal risk rating, zero prior alerts, and no PEP exposure, suggesting a historically clean profile. It is possible this represents a one-time legitimate event—perhaps the customer acted as a collector for a community function, wedding, or cooperative society cash pool, or received proceeds from a family asset sale that has not yet been updated in KYC records (which are 277 days stale).","{
  ""avg_deposit"": 239244,
  ""cash_vs_monthly_income"": 83.22,
  ""days_since_kyc"": 277,
  ""declared_annual_income"": 138000,
  ""deposits_just_under_round_pct"": 75,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Government Employee"",
  ""occupation_is_cash_trade"": false,
  ""prior_alert_count"": 0,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 1.500000000000000e+00,
  ""weeks_since_cash_began"": 0,
  ""weeks_with_cash_activity_pct"": 0
}",4306f685b85bc4546bd88e2d0ce7c095ca84a77183785e0bd1546dfe7480dc19,db910cf33680202e5276ffd934756773759bb0da736399e0a5e592d4d4b5e341
6,6,CU-101011|2025-09-01,CU-101011,Customer 101011,AATXP9751J,2025-09-01,824674.84,0.78,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      824,675 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 71.71 times declared monthly income for a Government Employee—an occupation with fixed, traceable salary payments that generate virtually no legitimate cash. The activity appeared only 2 weeks ago in sudden bursts (active in just 7.7% of weeks, volatility 1.5) with 80% of deposits structured just below round numbers, and 39% is quickly transferred out electronically. This is a textbook structuring pattern using an account that should never handle material cash.","The customer carries a LOW internal risk rating and has been with the bank long enough (KYC 291 days old) to have an established profile. Only 1 prior alert suggests this is not a chronic problem account. The funds are not being fully drained (61% retained), only one branch is used (consistent with a single location), and the base rate reminds us that 7 in 10 similar alerts prove legitimate—perhaps this is an undeclared side business, family pooling for a wedding or property purchase, or agricultural income not reflected in the KYC occupation field.","{
  ""avg_deposit"": 164935,
  ""cash_vs_monthly_income"": 71.71,
  ""days_since_kyc"": 291,
  ""declared_annual_income"": 138000,
  ""deposits_just_under_round_pct"": 80,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Government Employee"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.39,
  ""prior_alert_count"": 1,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 1.500000000000000e+00,
  ""weeks_since_cash_began"": 2,
  ""weeks_with_cash_activity_pct"": 7.7
}",bb13c5b535067731d188243c5162a15fddeb42747f1e2cb59f7f67c9755f9291,592c870b7d85deeea2ddbf88a0eb97d3b4ea520ffbd1a56b130865cc7ab93edb
7,7,CU-101011|2025-09-22,CU-101011,Customer 101011,AATXP9751J,2025-09-22,860460.57,0.78,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      860,461 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 74.82 times declared monthly income for a Government Employee—an occupation with fixed, traceable salary payments that generate virtually no legitimate cash. All five deposits sit just below round numbers (classic threshold avoidance), the activity appeared only 5 weeks ago in sudden bursts (19.2% of weeks active, volatility 0.27), and nearly half the cash is immediately transferred out electronically, matching the structuring typology perfectly.","The customer carries a LOW internal risk rating and has been with the bank long enough to have 3 prior alerts (suggesting previous reviews found explanations or were closed as false positives). The funds are not being rapidly cycled—53% remain in the account, consistent with working capital retention. Single-branch usage indicates stable, localized activity rather than geographic layering typical of organized structuring networks.","{
  ""avg_deposit"": 172092,
  ""cash_vs_monthly_income"": 74.82,
  ""days_since_kyc"": 312,
  ""declared_annual_income"": 138000,
  ""deposits_just_under_round_pct"": 100,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Government Employee"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.47,
  ""prior_alert_count"": 3,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 2.700000000000000e-01,
  ""weeks_since_cash_began"": 5,
  ""weeks_with_cash_activity_pct"": 19.2
}",411a3e77060a952a9e92a57ed8481d1f897d2782cd492e7bf8fa5077cd893905,da4e5728ceb97e7d7499bf306eb5a0fa1d557e8ec6ae89722ebe63b16c1def8f
8,8,CU-101011|2026-06-29,CU-101011,Customer 101011,AATXP9751J,2026-06-29,948357.37,0.78,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      948,357 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 82.47 times declared monthly income for a Government Employee—an occupation with fixed, traceable salary payments that generate virtually no legitimate cash. Combined with 88% immediate outward transfer and activity appearing in only 3.8% of weeks with extreme volatility (1.5), this matches classic structuring: sudden bursts of unexplained cash that are quickly layered out through electronic transfers.","The customer carries a LOW internal risk rating and has been with the bank long enough (KYC 592 days old) to have established some history. The use of a single branch suggests operational consistency rather than geographic smurfing. It's possible the customer operates an undeclared side business or receives family remittances in cash that weren't captured during KYC, though this would require significant underreporting.","{
  ""avg_deposit"": 237089,
  ""cash_vs_monthly_income"": 82.47,
  ""days_since_kyc"": 592,
  ""declared_annual_income"": 138000,
  ""deposits_just_under_round_pct"": 75,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Government Employee"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.88,
  ""prior_alert_count"": 3,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 1.500000000000000e+00,
  ""weeks_since_cash_began"": 1,
  ""weeks_with_cash_activity_pct"": 3.8
}",f0e0397acc82ee0e5e044eccefba5e287f04fafbae462f83f0170b65a9183876,f5f9e0b614923525d6e6ad696622da09628faeea8f10aefc7da28adc0d5932e3
9,9,CU-101011|2026-07-06,CU-101011,Customer 101011,AATXP9751J,2026-07-06,894734.97,0.78,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      894,735 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 77.8 times declared monthly income for a Government Employee—an occupation with fixed, traceable salary payments that generate virtually no legitimate cash. The activity appeared suddenly 2 weeks ago after 24 weeks of silence (7.7% weeks active), classic burst behavior, and 85.7% of deposits sit just below round thresholds, indicating deliberate structuring to avoid reporting triggers.","The customer has a LOW internal risk rating and is not politically exposed, suggesting no prior red flags. Only 55% of cash was transferred out (below the rapid-exit threshold typical of pure layering), meaning nearly half remains in the account—consistent with someone legitimately holding funds for upcoming expenses rather than immediately laundering them through the banking system.","{
  ""avg_deposit"": 127819,
  ""cash_vs_monthly_income"": 77.8,
  ""days_since_kyc"": 599,
  ""declared_annual_income"": 138000,
  ""deposits_just_under_round_pct"": 85.7,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Government Employee"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.55,
  ""prior_alert_count"": 3,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 1.500000000000000e+00,
  ""weeks_since_cash_began"": 2,
  ""weeks_with_cash_activity_pct"": 7.7
}",52db0e05fb649aa4e70665e60f760e5286066ea697bc64df733161f289394147,e76fd28d4b2d99541ca1be2e5e90138be11edb58b5c8110553f63b885055a953
10,10,CU-100484|2025-09-08,CU-100484,Customer 100484,NHVVK5676J,2025-09-08,958940.32,0.74,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      958,940 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 20× declared monthly income for a Government Employee—an occupation with fixed, traceable salary payments that generate virtually no legitimate cash. The activity appeared suddenly 3 weeks ago after 23 weeks of silence, and 72% was immediately transferred out electronically, classic layering behavior.","The deposits do not hug round-number thresholds (0% structured), the customer carries a LOW internal risk rating with no prior alerts, and the 5 deposits average INR 191,788 each—large individual amounts that a structurer would normally split further to avoid attention.","{
  ""avg_deposit"": 191788,
  ""cash_vs_monthly_income"": 20.22,
  ""days_since_kyc"": 440,
  ""declared_annual_income"": 569000,
  ""deposits_just_under_round_pct"": 0,
  ""distinct_branches_used"": 2,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Government Employee"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.72,
  ""prior_alert_count"": 0,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 6.000000000000000e-02,
  ""weeks_since_cash_began"": 3,
  ""weeks_with_cash_activity_pct"": 11.5
}",1a734fee6ee517c27763f3bc77574287106a73f9de2718fa8d4cb90a52df46ce,9fbde83ef745d88d00f78581e34b0cb8a22234a12252619351366c7c8eac0363
11,11,CU-100044|2026-03-02,CU-100044,Customer 100044,VROJY9962G,2026-03-02,882553.3,0.72,PV-TM-STRUCT-002,1000000,PV-TM-STRUCT-003,800000,Para 4.2.1,"Aggregate cash of INR      882,553 fell below the threshold of INR    1,000,000 in force under PV-TM-STRUCT-002, so no alert was generated and no disposition exists. Under PV-TM-STRUCT-003 (threshold INR      800,000) the same activity would alert.","The cash volume is 17 times declared monthly income for a doctor—an occupation with no legitimate reason for handling large cash—and 83% of deposits sit just below round numbers, a classic structuring signature. Combined with sporadic activity (only 19% of weeks active) and 60% rapid outflow via electronic transfer, this matches the textbook laundering pattern of burst deposits followed by quick movement.","The customer has been with the bank long enough to establish an 11-week history of this pattern, uses only one branch (suggesting operational consistency rather than evasion), and holds a LOW internal risk rating with no PEP exposure. The 0.22 volatility, while elevated, is not extreme—some legitimate businesses do have uneven cash cycles. Doctors can have side income from consulting camps, medical equipment sales, or running a small clinic that the declared income may not fully capture.","{
  ""avg_deposit"": 147092,
  ""cash_vs_monthly_income"": 17.08,
  ""days_since_kyc"": 506,
  ""declared_annual_income"": 620000,
  ""deposits_just_under_round_pct"": 83.3,
  ""distinct_branches_used"": 1,
  ""history_weeks_available"": 26,
  ""is_pep"": false,
  ""occupation"": ""Doctor"",
  ""occupation_is_cash_trade"": false,
  ""outward_transfer_ratio"": 0.6,
  ""prior_alert_count"": 3,
  ""risk_rating"": ""LOW"",
  ""weekly_volatility"": 2.200000000000000e-01,
  ""weeks_since_cash_began"": 11,
  ""weeks_with_cash_activity_pct"": 19.2
}",037c8c61b78d86b6d035749580373fd4ce9e73e58721a140fcc2c4a450c04099,583d7b1225d9b86f805244217b9997e5c654560c8479a023a8b1efcff90d5738
